titre,annee,description,note_imdb,votes_imdb,note_jwrating,runtime,type,genres,producteur,plateformes
Dissociation,2022,Mark dirige une équipe d'employés de bureau dont les souvenirs ont été scindés chirurgicalement en fonction de leur vie professionnelle et de leur vie privée. L'irruption d'un mystérieux collègue en dehors du bureau enclenche une longue quête de vérité sur leur travail.,8.7,349159.0,0.942575837571,49,SHOW,"Drame, Mystère & Thriller, Science-Fiction",Jessica Lee Gagné,"Apple TV+, Canal+"
Killing Eve: la série,2018,"Cantonnée à un travail de bureau bien peu passionnant, l'agent du MI5 Eve Polastri est frustrée par une existence bien monotone. Jusqu'au jour où elle se retrouve à traquer une tueuse psychopathe surnommée Villanelle...",8.1,149077.0,0.914961551048,42,SHOW,"Crime & Thriller, Drame, Action & Aventure, Mystère & Thriller",Stella Corradi,"Canal VOD, Apple TV, Netflix Standard with Ads, Netflix, Zavvi"
The White Lotus,2021,"De riches vacanciers viennent se reposer au White Lotus, un hôtel de luxe situé à Hawaii géré par Armond, soucieux du bien-être de ses clients. Shane et Rachel, tout juste mariés, viennent passer leur nuit de miel. La famille Mossbacher est emmenée par la très directive Nicole. Tanya McQuoid, une femme riche et instable, a emmené avec elle les cendres de sa mère.",8.0,300338.0,0.917491776114,62,SHOW,"Drame, Mystère & Thriller, Comédie",Mike White,"Fnac , Amazon Video, VIVA by videofutur, Canal VOD, HBO Max, Apple TV, Orange VOD, HBO Max  Amazon Channel, Premiere Max"
The Rookie : Le Flic de Los Angeles,2018,"Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus...",8.0,112112.0,0.862291141873,42,SHOW,"Crime & Thriller, Drame, Comédie, Action & Aventure",Nelson McCormick,"Disney Plus, M6+, Lionsgate+ Amazon Channels, Netflix Standard with Ads, Netflix, Canal+"
From,2022,"Découvrez le mystère d'une ville cauchemardesque dans le centre des États-Unis qui piège tous ceux qui y entrent. Alors que les habitants réticents se battent pour garder un sentiment de normalité et cherchent une issue, ils doivent également survivre aux menaces de la forêt environnante, y compris les créatures terrifiantes qui sortent lorsque le soleil se couche.",7.8,154863.0,0.914457714794,51,SHOW,"Science-Fiction, Mystère & Thriller, Drame, Horreur",John Griffin,"Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Amazon Video, Apple TV, Paramount Plus, Orange VOD, Paramount Plus Premium, Canal+"
Yellowstone,2018,"Dans le Montana, la famille Dutton possède le plus grand ranch des États-Unis près du parc national de Yellowstone. Menée par le patriarche John, la famille se bat contre des politiciens et des promoteurs immobiliers.",8.6,290668.0,0.898496107334,51,SHOW,"Western, Drame",Guy Ferland,"Fnac , Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Amazon Video, Canal VOD, Apple TV, Netflix Standard with Ads, Netflix, Paramount Plus, Orange VOD, Zavvi, Paramount Plus Premium"
Star Wars : Andor,2022,"En cette ère dangereuse, Cassian Andor emprunte un chemin qui fera de lui un héros de la rébellion.",8.6,252918.0,0.948583387523,48,SHOW,"Action & Aventure, Drame, Science-Fiction, Fantastique, Mystère & Thriller",Ariel Kleiman,Disney Plus
Le trône de fer,2011,"Il y a très longtemps, à une époque oubliée, une force a détruit l'équilibre des saisons. Dans un pays où l'été peut durer plusieurs années et l'hiver toute une vie, des forces sinistres et surnaturelles se pressent aux portes du Royaume des Sept Couronnes. La confrérie de la Garde de Nuit, protégeant le Royaume de toute créature pouvant provenir d'au-delà du Mur protecteur, n'a plus les ressources nécessaires pour assurer la sécurité de tous. Après un été de dix années, un hiver rigoureux s'abat sur le Royaume avec la promesse d'un avenir des plus sombres. Pendant ce temps, complots et rivalités se jouent sur le continent pour s'emparer du Trône de fer, le symbole du pouvoir absolu.",9.2,2490816.0,0.95794729655,58,SHOW,"Action & Aventure, Science-Fiction, Drame, Fantastique",David Nutter,"Fnac , Amazon Video, VIVA by videofutur, Canal VOD, HBO Max, Apple TV, Orange VOD, HBO Max  Amazon Channel, Zavvi, Premiere Max"
"Dre Grey, leçons d'anatomie",2005,"Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage.",7.6,366391.0,0.832233552719,48,SHOW,"Drame, Comédie Romantique",Robert Berlinger,"Disney Plus, Fnac , Molotov TV, Amazon Video, TF1+, Apple TV, Orange VOD, Bbox VOD"
Defiance,2013,"Ravagée par plusieurs décennies de guerre intergalactique, suite à l'arrivée de plusieurs espèces extraterrestres, la Terre a énormément souffert. Après 30 ans de combats, la civilisation commence tout juste à se reconstruire. Joshua Nolan, un ancien Marine qui a perdu sa femme et sa fille lors des conflits, se retrouve malgré lui shérif de Defiance, l'un des rares endroits où les humains et les extraterrestres parviennent à cohabiter. Située dans une vallée cernée de montagnes, la ville va devoir faire face à de nombreux dangers. Des menaces venant aussi bien de l'extérieur qu'à l'intérieur…",7.0,46070.0,0.877024403796,43,SHOW,"Science-Fiction, Action & Aventure, Drame",N/A,"Amazon Prime Video, Amazon Prime Video with Ads, Apple TV"
S.W.A.T.,2017,"Un lieutenant du S.W.A.T est tiraillé entre sa loyauté envers ses origines modestes, dont ses amis de la rue avec qui il a grandi et qui n'ont pas aussi bien tourné que lui, et son devoir envers ses co-équipiers. Une dualité qui finit par prendre tout son sens lorsqu'il se voit chargé d'organiser une unité hautement qualifiée pour résoudre les crimes à Los Angeles.",7.2,39566.0,0.875332784562,41,SHOW,"Crime & Thriller, Drame, Mystère & Thriller, Action & Aventure",Lin Oeding,"Molotov TV, Fnac , Amazon Video, Amazon Prime Video, Canal VOD, TF1+, Amazon Prime Video with Ads, Apple TV, Netflix Standard with Ads, Netflix"
Splinter Cell: Deathwatch,2025,"Dans l'univers nébuleux de l'espionnage, Sam Fisher est une rumeur et une légende. Appelé à reprendre du service, il doit aider une nouvelle recrue à démêler un complot mondial.",6.7,667.0,0.551519601245,24,SHOW,"Animation, Action & Aventure, Science-Fiction, Mystère & Thriller",Guillaume Dousse,"Netflix, Netflix Standard with Ads"
Ángela,2024,"Derrière les apparences d'une famille parfaite, Ángela endure la violence de son mari. L'arrivée d'Edu ravive un désir oublié et lui ouvre une échappatoire mortelle.",6.6,2085.0,0.830409659428,50,SHOW,"Drame, Mystère & Thriller",Norberto López Amado,"Netflix, Netflix Standard with Ads"
The Big Bang Theory,2007,"Leonard et Sheldon pourraient vous dire tout ce que vous voudriez savoir à propos de la physique quantique. Mais ils seraient bien incapables de vous expliquer quoi que ce soit sur la vie « réelle », le quotidien ou les relations humaines… Mais tout va changer avec l'arrivée de la superbe Penny, leur voisine. Ce petit bout de femme, actrice à ses heures et serveuse pour le beurre, va devenir leur professeur de vie !",8.1,920727.0,0.906551469032,20,SHOW,"Comédie, Comédie Romantique",Nikki Lorre,"Fnac , Molotov TV, Amazon Video, Canal VOD, VIVA by videofutur, HBO Max, Apple TV, Rakuten TV, HBO Max  Amazon Channel, Zavvi, Premiere Max"
Chad Powers,2025,"Après avoir ruiné sa carrière de quarterback universitaire par son comportement inacceptable, Russ Holliday se fait passer pour Chad Powers, un joueur talentueux et affable, et rejoint une équipe de football du Sud en difficulté pour tenter de relancer sa carrière.
",7.4,2650.0,0.718268087283,33,SHOW,"Comédie, Sport & Fitness",Tony Yacenda,Disney Plus
